"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Mar 21 15:29:36 CET 2023","Tue Mar 21 15:29:44 CET 2023","8680","","","","","","Password field less than 4 letters",""
"passed","Tue Mar 21 15:27:31 CET 2023","Tue Mar 21 15:27:35 CET 2023","3908","","","","","","Searching for an item",""
"passed","Tue Mar 21 15:31:14 CET 2023","Tue Mar 21 15:31:22 CET 2023","7710","","","","","","Registration negative with PrivacyPolicyUnchecked",""
"passed","Tue Mar 21 15:28:26 CET 2023","Tue Mar 21 15:28:28 CET 2023","1453","","","","","","Authorization with empty password",""
"passed","Tue Mar 21 15:28:24 CET 2023","Tue Mar 21 15:28:26 CET 2023","2133","","","","","","Authorization with incorrect password",""
"passed","Tue Mar 21 15:29:27 CET 2023","Tue Mar 21 15:29:36 CET 2023","8313","","","","","","Invalid email provider",""
"passed","Tue Mar 21 15:28:06 CET 2023","Tue Mar 21 15:28:08 CET 2023","1124","","","","","","Open account page",""
"passed","Tue Mar 21 15:30:58 CET 2023","Tue Mar 21 15:31:04 CET 2023","6741","","","","","","Registration negative with Password LessThan4",""
"passed","Tue Mar 21 15:28:33 CET 2023","Tue Mar 21 15:28:35 CET 2023","2197","","","","","","Authorization",""
"passed","Tue Mar 21 15:27:45 CET 2023","Tue Mar 21 15:27:47 CET 2023","2401","","","","","","Order",""
"passed","Tue Mar 21 15:28:51 CET 2023","Tue Mar 21 15:28:55 CET 2023","3074","","","","","","Login",""
"passed","Tue Mar 21 15:29:52 CET 2023","Tue Mar 21 15:30:00 CET 2023","7592","","","","","","Privacy policy is unchecked",""
"passed","Tue Mar 21 15:31:04 CET 2023","Tue Mar 21 15:31:14 CET 2023","9480","","","","","","Registration negative with Password More Than 20",""
"passed","Tue Mar 21 15:27:56 CET 2023","Tue Mar 21 15:28:00 CET 2023","3993","","","","","","searching for an item",""
"passed","Tue Mar 21 15:28:08 CET 2023","Tue Mar 21 15:28:08 CET 2023","544","","","","","","Open order history page",""
"passed","Tue Mar 21 15:30:20 CET 2023","Tue Mar 21 15:30:40 CET 2023","19881","","","","","","Registration negative with InvalidEmailProvider",""
"passed","Tue Mar 21 15:28:15 CET 2023","Tue Mar 21 15:28:17 CET 2023","2183","","","","","","Login/Authorization",""
"passed","Tue Mar 21 15:29:06 CET 2023","Tue Mar 21 15:29:13 CET 2023","7044","","","","","","Registration",""
"passed","Tue Mar 21 15:29:44 CET 2023","Tue Mar 21 15:29:52 CET 2023","7664","","","","","","Password field more than 20 letters",""
